pbIndex,pb1,pb2,
010332,0.33143869,0.28023839,
010333,-0.19639575,-0.98622322,
010334,0.18191931,-0.14441036,
010335,-0.72150004,-0.30560634,
010336,-0.69271833,-0.30589768,
010337,-0.66998839,-0.33307907,
010338,0.28004330,-0.54896611,
010339,0.08623333,-0.17733438,
010340,-0.22182539,-0.18680564,
010341,0.14638913,-0.10346255,
010342,0.08030635,-0.28358373,
010343,0.17541927,-0.01611015,
010344,0.58040226,0.37184754,
010345,0.16012283,-0.14741144,
010346,0.01598191,-0.10407193,
010347,0.12736449,-0.09883215,
010348,0.44751683,0.15090775,
010349,0.82746524,0.03881672,
010350,0.23452125,-0.00026334,
010351,0.08533456,0.25102773,
010352,0.14161927,0.63702995,
010353,-0.06350558,0.82982987,
010354,0.31972030,-0.15654421,
010355,0.12602690,-0.23002674,
010357,-0.29228130,-0.24825564,
010358,0.63119251,0.10696671,
010359,0.67222404,0.30410358,
010360,-1.01472652,-0.39733356,
010361,-0.75113684,-0.22424823,
010362,-0.66916656,-0.25269976,
010363,-0.45203811,0.02965861,
010364,0.25031829,-0.67065597,
010365,0.20577297,-0.23850885,
010368,0.14574219,-0.00496247,
010369,-0.04568907,0.01783873,
010370,0.10558815,-0.07659161,
010371,0.38111573,0.30389795,
010372,-0.27980456,0.38142294,
010373,-0.01608992,-0.19243644,
010374,0.11464278,0.11332809,
010375,0.74471098,-0.41016296,
010376,0.17487824,-0.26069689,
010377,0.12309113,-0.27136603,
010378,0.16095766,-0.63423479,
010379,0.39221746,0.20618786,
010380,0.68091279,-0.01302229,
010381,0.05687764,-0.25785923,
010382,0.03526954,-0.67791778,
010383,-0.42106754,-0.09326460,
010384,0.24584182,-0.01565900,
010385,0.17923604,-0.21383120,
010386,0.45991144,0.01444910,
010387,-0.20996681,-0.52977574,
010388,-0.30414879,-0.38085353,
010389,0.18410504,-0.68601471,
010390,-0.08564281,-0.24575104,
010391,-0.00968562,0.13017361,
010392,0.22160456,-0.34087449,
010393,0.15546130,0.16089283,
010394,0.23881465,-0.06305309,
010395,-0.08674750,-0.15375668,
010396,0.12835705,0.16741927,
010397,0.12485521,-0.50452805,
010398,0.15523578,-0.12418167,
010399,0.07008874,0.02044578,
010400,-0.84327018,-0.09817503,
010401,0.03502367,-0.05818040,
010402,0.02626874,-0.76862097,
010403,-0.13982558,-0.16061585,
010404,0.48079515,-0.90310282,
010405,0.06167693,-0.31735706,
010406,0.78085744,-0.11238896,
010407,0.31275895,-0.27847031,
010408,-0.33770722,-0.42743263,
010409,-0.32830510,-0.80171835,
010410,0.31871736,-0.64958030,
010411,-0.41827250,-0.16541295,
010412,-0.17005625,0.21280304,
010413,0.20764543,-0.65695685,
010414,0.09003635,-0.21201600,
010415,0.13633685,-0.54281968,
010416,-0.64693600,-0.39657232,
010417,0.01866541,0.12756670,
010418,0.00641120,-0.38634163,
010419,0.39115423,-0.16682792,
010420,-0.73657513,-0.95106268,
010421,-0.22974886,0.94412839,
010422,-0.39136586,-0.70928746,
010423,0.03482609,-1.17339242,
010425,-0.11408513,-0.08698396,
010426,-0.06198500,-1.03930283,
010427,0.51271856,-0.32048848,
010428,0.24440145,0.17233706,
010429,0.16440260,-1.56239653,
010430,0.21991915,-0.21458860,
010431,-0.12417965,-0.02314790,
010432,-0.04415860,-0.18076608,
010433,0.25748006,-0.13091317,
010434,0.26430464,-0.14395623,
010435,0.24207531,-0.04144885,
010436,0.30944318,0.90597320,
010437,0.01289935,-0.12789221,
010438,0.09008474,-0.34093732,
010439,0.13734442,-0.24560896,
010440,-0.04827303,-0.23327428,
010441,0.72456801,0.07108647,
010442,0.10949198,0.21638396,
010443,-0.28697699,-0.48735285,
010444,0.10637332,-0.62819916,
010445,0.29314780,-0.34953249,
010446,0.31240109,-0.83349705,
010447,0.22715452,-0.38551217,
010448,0.16449958,-0.02459482,
010449,-0.41787112,-0.54312181,
010450,-0.09290794,-0.40404475,
010452,0.24835178,-0.14556603,
010453,0.19337086,-0.16061793,
010454,0.06980770,0.11975169,
010455,-0.25135553,-0.24656135,
010456,-0.35634598,-0.18619254,
010457,0.26971605,-0.58013082,
010458,-0.04864038,0.05867927,
010459,0.20530368,-0.18209176,
010460,0.13409153,0.03970833,
010462,-0.01941056,-0.67241162,
010463,0.06488705,-0.28693366,
010464,0.12757340,0.08868731,
010465,-0.13452232,-1.59981239,
010466,-0.22637084,-0.55512834,
010467,0.04402108,-0.94327652,
010468,-0.01363457,-0.05721321,
010469,-0.87346834,0.03317298,
010470,0.01476330,-0.33284518,
010471,0.31728208,-0.13679613,
010472,0.39591014,0.09305246,
010473,0.92569172,0.33815524,
010474,0.17526463,-0.15708762,
010475,0.24626248,-0.06120716,
010476,0.22196434,-0.20352763,
010477,0.47702986,-0.25563890,
010478,0.15270926,-0.30516469,
010479,-0.15857723,-0.22945628,
010480,0.18627919,-0.22148532,
010481,-0.23740613,-0.51517177,
010482,0.01157195,-0.57765311,
010483,0.07139704,-1.27825773,
010484,0.21623564,-0.17948212,
010485,0.06414329,-0.39874005,
010486,-0.06648337,-0.13878259,
010487,-0.61640584,-0.29233792,
010488,0.22519758,-0.27984920,
010489,0.16456492,-0.13378555,
010490,-0.11124492,0.02063574,
010491,0.23598535,-0.28970990,
010492,0.04944940,0.03466057,
010493,0.10702064,-0.25183046,
010494,-0.28639039,-0.35103729,
010495,0.10711542,-0.13940002,
010496,0.46687511,-0.28701121,
010497,1.02786887,-0.11620733,
010498,0.19198069,-0.00369783,
010499,0.00931564,-0.68628830,
010500,-0.15703848,-0.56523860,
010501,0.39627001,-0.84913588,
010502,0.02597417,-0.03833769,
010503,0.40265870,-0.00221996,
010504,0.44186872,0.48022851,
010505,0.18023193,-0.60778779,
010506,0.68551075,0.05569669,
010507,-0.09936284,-0.27476242,
010508,0.18861946,-0.80607116,
010509,0.39866400,-0.22098038,
010510,0.49244383,-0.13482112,
